"value","code","question"
1,"NO TEXT","ResponseID"
1,"Adults","xdemAll"
1,"NO TEXT","demZIP"
1,"Selected","BPC1_1NET"
2,"Not Selected","BPC1_1NET"
1,"Selected","BPC1_2NET"
2,"Not Selected","BPC1_2NET"
1,"Selected","BPC1_3NET"
2,"Not Selected","BPC1_3NET"
1,"Selected","BPC1_4NET"
2,"Not Selected","BPC1_4NET"
1,"Selected","BPC1_5NET"
2,"Not Selected","BPC1_5NET"
1,"Selected","BPC1_6NET"
2,"Not Selected","BPC1_6NET"
1,"Selected","BPC1_7NET"
2,"Not Selected","BPC1_7NET"
1,"Selected","BPC1_8NET"
2,"Not Selected","BPC1_8NET"
1,"Selected","BPC1_9NET"
2,"Not Selected","BPC1_9NET"
1,"Selected","BPC1_10NET"
2,"Not Selected","BPC1_10NET"
1,"Selected","BPC1_11NET"
2,"Not Selected","BPC1_11NET"
1,"Selected","BPC1_12NET"
2,"Not Selected","BPC1_12NET"
1,"Selected","BPC1_13NET"
2,"Not Selected","BPC1_13NET"
1,"Selected","BPC1_14NET"
2,"Not Selected","BPC1_14NET"
1,"Selected","BPC1_15NET"
2,"Not Selected","BPC1_15NET"
1,"Selected","BPC2_1NET"
2,"Not Selected","BPC2_1NET"
1,"Selected","BPC2_2NET"
2,"Not Selected","BPC2_2NET"
1,"Selected","BPC2_3NET"
2,"Not Selected","BPC2_3NET"
1,"Selected","BPC2_4NET"
2,"Not Selected","BPC2_4NET"
1,"Selected","BPC2_5NET"
2,"Not Selected","BPC2_5NET"
1,"Selected","BPC2_6NET"
2,"Not Selected","BPC2_6NET"
1,"Selected","BPC2_7NET"
2,"Not Selected","BPC2_7NET"
1,"Selected","BPC2_8NET"
2,"Not Selected","BPC2_8NET"
1,"Selected","BPC2_9NET"
2,"Not Selected","BPC2_9NET"
1,"Selected","BPC2_10NET"
2,"Not Selected","BPC2_10NET"
1,"Selected","BPC2_11NET"
2,"Not Selected","BPC2_11NET"
1,"Selected","BPC2_12NET"
2,"Not Selected","BPC2_12NET"
1,"Selected","BPC2_13NET"
2,"Not Selected","BPC2_13NET"
1,"Selected","BPC2_14NET"
2,"Not Selected","BPC2_14NET"
1,"Very important","BPC3_1"
2,"Somewhat important","BPC3_1"
3,"Not too important","BPC3_1"
4,"Not at all important","BPC3_1"
5,"Don't know/No opinion","BPC3_1"
1,"Very important","BPC3_2"
2,"Somewhat important","BPC3_2"
3,"Not too important","BPC3_2"
4,"Not at all important","BPC3_2"
5,"Don't know/No opinion","BPC3_2"
1,"Very important","BPC3_3"
2,"Somewhat important","BPC3_3"
3,"Not too important","BPC3_3"
4,"Not at all important","BPC3_3"
5,"Don't know/No opinion","BPC3_3"
1,"Very important","BPC3_4"
2,"Somewhat important","BPC3_4"
3,"Not too important","BPC3_4"
4,"Not at all important","BPC3_4"
5,"Don't know/No opinion","BPC3_4"
1,"Very important","BPC3_5"
2,"Somewhat important","BPC3_5"
3,"Not too important","BPC3_5"
4,"Not at all important","BPC3_5"
5,"Don't know/No opinion","BPC3_5"
1,"Very important","BPC3_6"
2,"Somewhat important","BPC3_6"
3,"Not too important","BPC3_6"
4,"Not at all important","BPC3_6"
5,"Don't know/No opinion","BPC3_6"
1,"Very important","BPC3_7"
2,"Somewhat important","BPC3_7"
3,"Not too important","BPC3_7"
4,"Not at all important","BPC3_7"
5,"Don't know/No opinion","BPC3_7"
1,"Very important","BPC3_8"
2,"Somewhat important","BPC3_8"
3,"Not too important","BPC3_8"
4,"Not at all important","BPC3_8"
5,"Don't know/No opinion","BPC3_8"
1,"Very positive – I feel informed and engaged","BPC4"
2,"Somewhat positive – I appreciate staying updated, even if it's overwhelming at times","BPC4"
3,"Neutral – I don't have strong feelings either way","BPC4"
4,"Somewhat negative– It can be tiresome, but I still pay attention","BPC4"
5,"Very negative – I feel overwhelmed and fatigued by the constant stream of information","BPC4"
6,"I actively avoid election-related posts on social media","BPC4"
7,"Don't know/no opinion","BPC4"
1,"Far too little","BPC5"
2,"Too little","BPC5"
3,"About the right amount","BPC5"
4,"Too much","BPC5"
5,"Far too much","BPC5"
6,"Don't know/no opinion","BPC5"
1,"Far too little","BPC6_1"
2,"Too little","BPC6_1"
3,"About the right amount","BPC6_1"
4,"Too much","BPC6_1"
5,"Far too much","BPC6_1"
6,"Don't know/no opinion","BPC6_1"
1,"Far too little","BPC6_2"
2,"Too little","BPC6_2"
3,"About the right amount","BPC6_2"
4,"Too much","BPC6_2"
5,"Far too much","BPC6_2"
6,"Don't know/no opinion","BPC6_2"
1,"Far too little","BPC6_3"
2,"Too little","BPC6_3"
3,"About the right amount","BPC6_3"
4,"Too much","BPC6_3"
5,"Far too much","BPC6_3"
6,"Don't know/no opinion","BPC6_3"
1,"Mainly the responsibility of social media platforms","BPC7"
2,"Social media platforms and government should share responsibility","BPC7"
3,"Mainly the responsibility of government","BPC7"
4,"Neither are responsible","BPC7"
5,"Don't know/no opinion","BPC7"
1,"Selected","BPC8_1NET"
2,"Not Selected","BPC8_1NET"
1,"Selected","BPC8_2NET"
2,"Not Selected","BPC8_2NET"
1,"Selected","BPC8_3NET"
2,"Not Selected","BPC8_3NET"
1,"Selected","BPC8_4NET"
2,"Not Selected","BPC8_4NET"
1,"Selected","BPC8_5NET"
2,"Not Selected","BPC8_5NET"
1,"Selected","BPC8_6NET"
2,"Not Selected","BPC8_6NET"
1,"Selected","BPC8_7NET"
2,"Not Selected","BPC8_7NET"
1,"Selected","BPC8_8NET"
2,"Not Selected","BPC8_8NET"
1,"Selected","BPC8_9NET"
2,"Not Selected","BPC8_9NET"
1,"Selected","BPC8_10NET"
2,"Not Selected","BPC8_10NET"
1,"Selected","BPC8_11NET"
2,"Not Selected","BPC8_11NET"
1,"Selected","BPC8_12NET"
2,"Not Selected","BPC8_12NET"
1,"Selected","BPC8_13NET"
2,"Not Selected","BPC8_13NET"
1,"Selected","BPC8_14NET"
2,"Not Selected","BPC8_14NET"
1,"Selected","BPC8_15NET"
2,"Not Selected","BPC8_15NET"
1,"Selected","BPC8_16NET"
2,"Not Selected","BPC8_16NET"
1,"Selected","BPC8_17NET"
2,"Not Selected","BPC8_17NET"
1,"Selected","BPC8_18NET"
2,"Not Selected","BPC8_18NET"
1,"Selected","BPC8_19NET"
2,"Not Selected","BPC8_19NET"
1,"Selected","BPC9_1NET"
2,"Not Selected","BPC9_1NET"
1,"Selected","BPC9_2NET"
2,"Not Selected","BPC9_2NET"
1,"Selected","BPC9_3NET"
2,"Not Selected","BPC9_3NET"
1,"Selected","BPC9_4NET"
2,"Not Selected","BPC9_4NET"
1,"Selected","BPC9_5NET"
2,"Not Selected","BPC9_5NET"
1,"Selected","BPC9_6NET"
2,"Not Selected","BPC9_6NET"
1,"Selected","BPC9_7NET"
2,"Not Selected","BPC9_7NET"
1,"Selected","BPC9_8NET"
2,"Not Selected","BPC9_8NET"
1,"Selected","BPC9_9NET"
2,"Not Selected","BPC9_9NET"
1,"Selected","BPC9_10NET"
2,"Not Selected","BPC9_10NET"
1,"Selected","BPC9_11NET"
2,"Not Selected","BPC9_11NET"
1,"Selected","BPC10_1NET"
2,"Not Selected","BPC10_1NET"
1,"Selected","BPC10_2NET"
2,"Not Selected","BPC10_2NET"
1,"Selected","BPC10_3NET"
2,"Not Selected","BPC10_3NET"
1,"Selected","BPC10_4NET"
2,"Not Selected","BPC10_4NET"
1,"Selected","BPC10_5NET"
2,"Not Selected","BPC10_5NET"
1,"Selected","BPC10_6NET"
2,"Not Selected","BPC10_6NET"
1,"Selected","BPC10_7NET"
2,"Not Selected","BPC10_7NET"
1,"Selected","BPC10_8NET"
2,"Not Selected","BPC10_8NET"
1,"Selected","BPC11_1NET"
2,"Not Selected","BPC11_1NET"
1,"Selected","BPC11_2NET"
2,"Not Selected","BPC11_2NET"
1,"Selected","BPC11_3NET"
2,"Not Selected","BPC11_3NET"
1,"Selected","BPC11_4NET"
2,"Not Selected","BPC11_4NET"
1,"Selected","BPC11_5NET"
2,"Not Selected","BPC11_5NET"
1,"Selected","BPC11_6NET"
2,"Not Selected","BPC11_6NET"
1,"Selected","BPC11_7NET"
2,"Not Selected","BPC11_7NET"
1,"Daily","BPC12"
2,"Weekly","BPC12"
3,"Monthly","BPC12"
4,"Rarely","BPC12"
5,"Never","BPC12"
6,"Don't know/no opinion","BPC12"
1,"I participate regularly and actively contribute to discussions","BPC13"
2,"I participate occasionally","BPC13"
3,"I mostly observe discussions had by others","BPC13"
4,"Other, please describe","BPC13"
1,"Not at all","BPC14"
2,"Once or twice","BPC14"
3,"A few times a week","BPC14"
4,"Almost every day","BPC14"
5,"Multiple times a day","BPC14"
6,"Can't recall / Not sure","BPC14"
1,"Selected","BPC15_1NET"
2,"Not Selected","BPC15_1NET"
1,"Selected","BPC15_2NET"
2,"Not Selected","BPC15_2NET"
1,"Selected","BPC15_3NET"
