Q_Text,Response,Age: 18-34,Age: 35-44,Age: 45-64,Age: 65+,Overall
NO TEXT,I don't participate,0.0,1.0,0.46446750377027873,0.22108203434366624,0.33950179048749546
NO TEXT,I don’t participate ,0.39563090032797005,0.0,0.0,0.0,0.09878314214221275
NO TEXT,I observe and sometimes participate ,0.0,0.0,0.14926165297235341,0.0,0.052279657440506756
NO TEXT,I occasionally offer my opinion.,0.0,0.0,0.3862708432573678,0.0,0.13529333866141272
NO TEXT,I rarely participate with communities in messaging platforms,0.2087381993440599,0.0,0.0,0.0,0.0521188188263869
NO TEXT,I use Get and frank speech.,0.0,0.0,0.0,0.1836453171240743,0.052633271613230906
NO TEXT,Sometimes ,0.39563090032797005,0.0,0.0,0.0,0.09878314214221275
NO TEXT,avoid them,0.0,0.0,0.0,0.39735518626996813,0.11388312957494703
NO TEXT,just talk to friends and family.,0.0,0.0,0.0,0.19791746226229143,0.056723709111594765
What is the nature of your participation in political groups or chat communities within messaging platforms?,I mostly observe discussions had by others,0.47988861634613267,0.4030065716192202,0.5314808013795326,0.590429854076741,39.1452894570162
What is the nature of your participation in political groups or chat communities within messaging platforms?,I participate occasionally,0.3511209240781801,0.39841858697583016,0.3407566563276692,0.26109576331150125,27.508485706010212
What is the nature of your participation in political groups or chat communities within messaging platforms?,NO TEXT,0.16107388917904383,0.1910727978968847,0.10902011609497539,0.10569466816725434,11.50328685693177
What is the nature of your participation in political groups or chat communities within messaging platforms?,"Other, please describe",0.00791657039664344,0.007502043508064808,0.018742426197822744,0.04277971444450355,1.1963038470880882
