"ResponseID","xdemAll","demZIP","BPC1_1NET","BPC1_2NET","BPC1_3NET","BPC1_4NET","BPC1_5NET","BPC1_6NET","BPC1_7NET","BPC1_8NET","BPC1_9NET","BPC1_10NET","BPC1_11NET","BPC1_12NET","BPC1_13NET","BPC1_14NET","BPC1_15NET","BPC2_1NET","BPC2_2NET","BPC2_3NET","BPC2_4NET","BPC2_5NET","BPC2_6NET","BPC2_7NET","BPC2_8NET","BPC2_9NET","BPC2_10NET","BPC2_11NET","BPC2_12NET","BPC2_13NET","BPC2_14NET","BPC3_1","BPC3_2","BPC3_3","BPC3_4","BPC3_5","BPC3_6","BPC3_7","BPC3_8","BPC4","BPC5","BPC6_1","BPC6_2","BPC6_3","BPC7","BPC8_1NET","BPC8_2NET","BPC8_3NET","BPC8_4NET","BPC8_5NET","BPC8_6NET","BPC8_7NET","BPC8_8NET","BPC8_9NET","BPC8_10NET","BPC8_11NET","BPC8_12NET","BPC8_13NET","BPC8_14NET","BPC8_15NET","BPC8_16NET","BPC8_17NET","BPC8_18NET","BPC8_19NET","BPC9_1NET","BPC9_2NET","BPC9_3NET","BPC9_4NET","BPC9_5NET","BPC9_6NET","BPC9_7NET","BPC9_8NET","BPC9_9NET","BPC9_10NET","BPC9_11NET","BPC10_1NET","BPC10_2NET","BPC10_3NET","BPC10_4NET","BPC10_5NET","BPC10_6NET","BPC10_7NET","BPC10_8NET","BPC11_1NET","BPC11_2NET","BPC11_3NET","BPC11_4NET","BPC11_5NET","BPC11_6NET","BPC11_7NET","BPC12","BPC13","BPC14","BPC15_1NET","BPC15_2NET","BPC15_3NET","BPC15_4NET","BPC15_5NET","BPC15_6NET","BPC15_7NET","BPC15_8NET","BPC15_9NET","BPC15_10NET","BPC15_11NET","BPC15_12NET","BPC16","BPC17","BPC18","BPC19","BPC20","BPC21_1","BPC21_2","BPC21_3","BPC21_4","BPC21_5","BPC21_6","BPC21_7","BPC21_8","BPC21_9","BPC22_1","BPC22_2","BPC22_3","BPC23_1","BPC23_2","BPC23_3","BPC23_4","BPC23_5","BPC23_6","BPC23_7","BPC23_8","BPC23_9","BPC23_10","BPC24_1","BPC24_2","BPC24_3","BPC24_4","BPC24_5","BPC24_6","BPC24_7","xdemGender","age","demAgeGeneration","xpid3","xpidGender","xdemIdeo3","xeduc3","xdemInc3","xdemWhite","xdemHispBin","demBlackBin","demRaceOther","xdemReligion","xdemReligOther","xdemEvang","xdemUsr","xdemEmploy","xdemMilHH1","xsubVote22O","xsubVote20O","xsubVote18O","xreg4","xdemPrediction","BPC1_13_TEXT","BPC2_13_TEXT","BPC8_17_TEXT","BPC9_9_TEXT","BPC10_6_TEXT","BPC11_5_TEXT","BPC13_4_TEXT","BPC15_11_TEXT","wts"
"R_2Ed9MghnhmNn3ts",1,"33610","1","2","1","2","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2","1","2","2","2",1,1,1,1,1,1,1,1,1,NA,3,3,3,4,"2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","2","1","1","2","2","2","2","2","1","2","2","1","2","2","2",2,1,3,"1","2","1","2","2","1","2","1","2","2","2","2",5,1,1,1,1,1,2,2,2,1,2,2,2,2,4,4,4,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,2,NA,1,1,NA,5,NA,2,2,1,2,2,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.794396348747137
"R_uvL7SoH8IOtP0v7",1,"08009","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2",4,1,2,2,2,1,4,2,6,1,NA,NA,NA,2,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5,NA,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,1,1,1,1,4,1,4,1,4,4,1,1,1,7,2,7,3,3,3,3,3,3,3,3,3,3,1,5,5,5,4,4,1,2,4,4,1,2,1,1,1,1,NA,NA,NA,2,1,NA,3,6,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.5991334329200168
"R_2rNki8BBEhX8TTZ",1,"01843","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2",5,5,5,5,5,5,5,5,6,6,NA,NA,NA,5,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5,NA,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,2,3,3,3,4,1,3,3,4,1,7,2,4,4,1,2,1,1,1,1,NA,NA,NA,1,NA,2,1,6,2,4,1,4,1,3,NA,"NONE",NA,NA,NA,NA,NA,NA,1.5215169719324584
"R_C9vkgEy54XuIYVz",1,"90012","2","2","2","2","2","1","1","2","2","2","2","1","2","2","2","2","2","2","2","1","2","2","2","1","2","2","1","2","2",2,2,1,1,1,2,2,2,1,NA,4,3,4,2,"2","2","2","1","2","2","1","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","2","1","1","2","2","2","1","1","1","2","2","2","2",1,1,5,"2","2","2","2","2","1","1","1","1","2","2","2",5,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,1,1,2,1,1,3,3,3,1,NA,NA,NA,2,1,NA,1,3,1,1,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.7902465508943132
"R_09hKRJe75q4A3EB",1,"39667","2","2","2","2","2","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","2","2",1,1,1,2,1,1,2,2,3,NA,2,3,3,1,"1","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","1","1","2","2","2","2","1","2","2","2","2","1","1","2","2","2","2","2","2","1","1","2","1","2","2","2",4,3,2,"2","2","2","2","2","1","1","2","2","2","2","2",5,2,2,2,2,3,3,2,3,3,3,3,3,3,5,5,5,3,2,2,3,2,1,2,3,2,3,3,4,1,2,3,1,7,2,2,3,2,4,1,1,2,1,NA,NA,NA,5,NA,2,3,5,1,4,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,0.4331913895128055
"R_BPvHKs4mzt5MC41",1,"61821","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","1","1","2","2","2","2","2",1,1,1,1,1,1,2,1,2,NA,2,2,2,5,"1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6,NA,3,"1","1","2","2","2","1","2","2","2","2","2","2",2,2,2,2,2,1,1,1,1,1,1,2,2,1,4,4,4,3,2,3,3,3,2,2,3,2,2,7,5,3,3,4,5,7,2,4,4,1,2,3,1,1,1,NA,NA,NA,1,NA,1,1,6,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.7212688037330746
"R_269gaCaExSiqcJj",1,"14224","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","1","2","2","2","2","2",1,1,1,2,1,1,3,2,3,6,NA,NA,NA,5,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5,NA,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3,2,2,3,4,3,3,1,5,1,1,4,4,5,7,4,1,3,1,3,3,3,2,3,3,2,3,7,3,4,4,5,4,7,2,4,4,2,4,2,1,2,1,NA,NA,NA,1,NA,2,2,6,2,4,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1.5215169719324584
"R_21yNze8HyB9CGgt",1,"74652","1","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","2","2","2","2",1,2,1,1,2,2,2,1,2,2,NA,NA,NA,2,"2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","1","2","2","2","2","1","2","2","2","2","1","1","2","2","1","2","2","2","1","1","2","1","2","2","2",4,3,3,"1","1","2","2","1","2","1","2","2","2","2","2",3,2,2,2,2,2,1,2,2,2,1,1,2,2,5,5,4,3,2,3,3,2,3,2,3,3,3,4,3,4,5,4,4,6,2,4,4,1,2,2,1,1,1,NA,NA,NA,1,NA,2,3,6,2,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.6461337425730724
"R_2ScRx3D1K2ZhXKj",1,"51570","2","1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","2","2","2","2",1,1,1,1,1,1,2,1,2,6,NA,NA,NA,5,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5,NA,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6,1,1,1,1,2,1,3,1,3,3,2,2,2,5,5,2,3,3,3,3,3,3,3,3,3,3,7,3,4,6,3,6,7,2,4,4,2,4,1,1,1,1,NA,NA,NA,1,NA,2,3,6,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.7212688037330746
"R_3hoUS90R85nVmow",1,"60914","1","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","1","2","2","2","1","2","2","2","2","1","2","2","2",1,1,1,1,2,2,3,1,2,NA,3,3,3,4,"2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","1","2","1","2","2","2",5,NA,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,1,1,1,1,2,2,2,1,2,3,1,1,3,4,4,4,3,3,3,3,2,3,2,3,3,3,5,3,1,4,4,2,6,2,4,4,1,2,2,2,1,1,NA,NA,NA,1,NA,2,2,6,2,1,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1.099461905332681
